Time [s],0.5mV,1mV,1.5mV,2mV,2.5mV,3mV,3.5mV,4mV,4.5mV,5mV
1.0189,1.336496087,1.173007175,1.009518262,0.846029349,0.682540436,0.519051524,0.355562611,0.192073698,0.028584786,-0.134904127
1.019,1.357915961,1.215846923,1.073777884,0.931708845,0.789639806,0.647570767,0.505501728,0.36343269,0.221363651,0.079294612
1.0191,1.379896517,1.259808034,1.13971955,1.019631067,0.899542584,0.7794541,0.659365617,0.539277134,0.41918865,0.299100167
1.0192,1.402351007,1.304717013,1.20708302,1.109449027,1.011815033,0.91418104,0.816547046,0.718913053,0.621279059,0.523645066
1.0193,1.425190813,1.350396627,1.27560244,1.200808253,1.126014066,1.05121988,0.976425693,0.901631506,0.826837319,0.752043133
1.0194,1.448325799,1.396666597,1.345007395,1.293348194,1.241688992,1.190029791,1.138370589,1.086711387,1.035052186,0.983392984
1.0195,1.471664659,1.443344318,1.415023977,1.386703635,1.358383294,1.330062953,1.301742612,1.273422271,1.245101929,1.216781588
1.0196,1.495115287,1.490245573,1.48537586,1.480506147,1.475636434,1.47076672,1.465897007,1.461027294,1.45615758,1.451287867
1.0197,1.518585133,1.537185266,1.555785399,1.574385532,1.592985665,1.611585799,1.630185932,1.648786065,1.667386198,1.685986331
1.0198,1.541981573,1.583978147,1.62597472,1.667971293,1.709967866,1.75196444,1.793961013,1.835957586,1.877954159,1.919950733
1.0199,1.565212272,1.630439544,1.695666817,1.760894089,1.826121361,1.891348633,1.956575905,2.021803177,2.087030449,2.152257721
1.02,1.588185549,1.676386098,1.764586646,1.852787195,1.940987744,2.029188293,2.117388841,2.20558939,2.293789939,2.381990488
1.0201,1.610810738,1.721636476,1.832462215,1.943287953,2.054113691,2.164939429,2.275765167,2.386590905,2.497416643,2.608242381
1.0202,1.632998549,1.766012098,1.899025647,2.032039196,2.165052745,2.298066294,2.431079843,2.564093392,2.697106941,2.830120489
1.0203,1.654661416,1.809337832,1.964014248,2.118690664,2.27336708,2.428043496,2.582719912,2.737396328,2.892072744,3.04674916
